train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
3.550615660555951,0.04180194805194805,3.5634120656298354,0.04788961038961039,0.005
3.434683236208829,0.0799512987012987,3.9908787739741336,0.028409090909090908,0.005
3.1658223728080848,0.1268262987012987,4.757085205672623,0.030844155844155844,0.005
2.897909099405462,0.16132305194805194,4.756135928166377,0.04788961038961039,0.005
2.6869422615348517,0.21570616883116883,3.075477968562733,0.08522727272727272,0.005
2.516622744597398,0.26521915584415584,7.453641928635634,0.05519480519480519,0.005
2.3890906030481514,0.3015422077922078,5.7514512631800265,0.028409090909090908,0.005
2.2809846525068407,0.3325892857142857,6.18122182573591,0.03409090909090909,0.005
2.171579850184453,0.37195616883116883,4.869528275031548,0.056006493506493504,0.005
2.10903947693961,0.3847402597402597,2.0999714863764773,0.424512987012987,0.005
2.033065054323766,0.4182224025974026,5.278616087777274,0.048701298701298704,0.005
1.9635707000633338,0.44906655844155846,8.758483800021084,0.02922077922077922,0.005
1.8973165642131458,0.45556006493506496,4.1778720570849135,0.08279220779220779,0.005
1.8201953869361382,0.4815340909090909,5.4174438327937935,0.07061688311688312,0.005
1.784315691365824,0.4943181818181818,9.324124769731002,0.04707792207792208,0.005
1.7196561748331243,0.5083198051948052,9.050008786189093,0.049512987012987016,0.005
1.6383518599844598,0.5505275974025974,4.778346941068575,0.10470779220779221,0.0025
1.5931618244617016,0.5586444805194806,3.7885203237657423,0.1396103896103896,0.0025
1.5665304103454987,0.5722402597402597,2.7602214317817193,0.21753246753246752,0.0025
1.5385029548174376,0.573051948051948,1.9682400830380329,0.41883116883116883,0.0025
1.519746074428806,0.5740665584415584,6.334897338569938,0.07305194805194805,0.0025
1.500422655762016,0.5923295454545454,2.4751338277544295,0.21022727272727273,0.0025
1.493189728105223,0.5892857142857143,2.122471617413806,0.33116883116883117,0.0025
1.4510918329288434,0.6079545454545454,3.151243222224248,0.1956168831168831,0.0025
1.4152582698054128,0.6124188311688312,4.115190400705709,0.11931818181818182,0.0025
1.4226646578157103,0.6130275974025974,5.294084759501668,0.08279220779220779,0.0025
1.371661351872729,0.6221590909090909,7.546667396248161,0.030844155844155844,0.00125
1.3484965454448352,0.6422483766233766,3.296545428115052,0.174512987012987,0.00125
1.3542372576602093,0.6335227272727273,1.440338480008113,0.5876623376623377,0.00125
1.3346510769484878,0.6501623376623377,1.5007759781626913,0.5900974025974026,0.00125
1.325922162501843,0.648538961038961,1.5744041916611906,0.5487012987012987,0.00125
1.3184278878298672,0.6448863636363636,1.6957803484681364,0.4780844155844156,0.00125
1.315420567215263,0.6477272727272727,1.7433985812323434,0.48133116883116883,0.00125
1.2964199409856425,0.6465097402597403,1.4014758723122733,0.5917207792207793,0.00125
1.2865234721790662,0.6570616883116883,3.502050424551035,0.14204545454545456,0.00125
1.2817410989241167,0.6523944805194806,2.104364159819368,0.39042207792207795,0.00125
1.2800800769360035,0.6544237012987013,1.2932716654492664,0.6623376623376623,0.00125
1.2607880745615279,0.658685064935065,7.716373870899151,0.08847402597402597,0.00125
1.272185721954742,0.6592938311688312,1.7094151787943654,0.4707792207792208,0.00125
1.255319098373512,0.6651785714285714,1.7819642602623282,0.44561688311688313,0.00125
1.2405662250209164,0.669237012987013,3.986305453560569,0.09577922077922078,0.00125
1.24656799861363,0.6607142857142857,1.3756497076579504,0.6298701298701299,0.00125
1.2308152356705109,0.6661931818181818,1.4203040150852946,0.5957792207792207,0.00125
1.2151760311869833,0.6765422077922078,1.1560870610274279,0.7224025974025974,0.000625
1.205207813869823,0.6781655844155844,1.1980432194548767,0.6826298701298701,0.000625
1.2017634294249795,0.6828327922077922,1.3882434940957404,0.5974025974025974,0.000625
1.1972154355668403,0.6828327922077922,1.2070047483815776,0.6883116883116883,0.000625
1.1945841258222407,0.6765422077922078,1.9647409730143361,0.3871753246753247,0.000625
1.190654068798214,0.6749188311688312,1.1631878258345962,0.7012987012987013,0.000625
1.1840009580958972,0.6870941558441559,1.4870499016402603,0.5292207792207793,0.000625
1.1849976483877602,0.6842532467532467,1.1257124891528836,0.7207792207792207,0.0003125
1.1597353924404492,0.6964285714285714,1.1373599659312854,0.7337662337662337,0.0003125
1.1630475544310235,0.6913555194805194,1.2342354012774182,0.6688311688311688,0.0003125
1.158376874087693,0.6958198051948052,1.113994760946794,0.7297077922077922,0.0003125
1.1628707531210665,0.6941964285714286,1.4511360936350637,0.5608766233766234,0.0003125
1.1585922628254086,0.6986607142857143,1.2312137476809613,0.6655844155844156,0.0003125
1.1590431541591495,0.6883116883116883,1.2339633997384605,0.6785714285714286,0.0003125
1.1585988913263594,0.6923701298701299,1.137005326035735,0.724025974025974,0.0003125
1.1502028076679676,0.6974431818181818,1.4079616069793701,0.5762987012987013,0.0003125
1.1494224930738475,0.6960227272727273,1.1581982962496868,0.6875,0.0003125
1.1509001239553673,0.6976461038961039,1.2047627405686812,0.6834415584415584,0.00015625
1.1389843821525574,0.6962256493506493,1.1403522971388582,0.7150974025974026,0.00015625
1.143564545488977,0.697849025974026,1.0704779748792772,0.7459415584415584,0.00015625
1.1635511726528018,0.690137987012987,1.2215022204758286,0.6688311688311688,0.00015625
1.1427933062825884,0.6984577922077922,1.1208783124948476,0.7199675324675324,0.00015625
1.143673761324449,0.695211038961039,1.1276848362637806,0.7207792207792207,0.00015625
1.1346733113387963,0.7045454545454546,1.1267815905731995,0.7232142857142857,0.00015625
1.1528650057780279,0.697849025974026,1.2398160959219005,0.6542207792207793,0.00015625
1.1346358145986284,0.7025162337662337,1.0846932677479533,0.7426948051948052,0.00015625
1.1463802363965419,0.695211038961039,1.0950391757023799,0.7362012987012987,7.8125e-05
1.1449376158900075,0.6950081168831169,1.0938111543655396,0.7386363636363636,7.8125e-05
1.1337092743291484,0.7041396103896104,1.0814466290659719,0.7459415584415584,7.8125e-05
1.139593486662035,0.7063717532467533,1.0753187575897614,0.7548701298701299,7.8125e-05
1.1463087301749688,0.6939935064935064,1.068119309165261,0.747564935064935,7.8125e-05
1.139795294055691,0.6988636363636364,1.1280686994651696,0.7248376623376623,7.8125e-05
1.137857960416125,0.7019074675324676,1.0967291794814074,0.7305194805194806,7.8125e-05
1.1435086177541065,0.6917613636363636,1.072856921654243,0.7491883116883117,7.8125e-05
